student_id,student_name,email,batch_year,department,phone_number
69,Witty Berrow,,2024,cse,2108683536
70,Mia Aggio,maggio1x@edublogs.org,2023,CSE,
71,Carney Braffington,cbraffington1y@miitbeian.gov.cn,2023,CS,
72,Carny Pendre,cpendre1z@businessinsider.com,2022,CSE,3102397987
73,Dell Sidwick,dsidwick20@alibaba.com,2022,Computer science,7743550239
74,Stacy Marris,smarris21@japanpost.jp,2021,CS,9175718717
75,Nani Featherstonhaugh,nfeatherstonhaugh22@drupal.org,2022,cse,1315205680
76,Jaimie Thursby,jthursby23@reuters.com,2023,Computer science,9609976678
77,Emmye Braund,ebraund24@japanpost.jp,2023,Computer science,2789559569
78,Emmeline Berkowitz,eberkowitz25@usnews.com,2023,Computer Science,6034505020
79,Tilly Shorter,tshorter26@php.net,2022,CS,1317043539
80,Muffin McWhirter,mmcwhirter27@lulu.com,2023,CSE,7109874691
81,Jethro Dubbin,jdubbin28@cnn.com,2023,CS,1938352116
82,Bernardo Algar,balgar29@patch.com,2023,cse,5364971890
83,Collete Ligoe,cligoe2a@examiner.com,2023,cse,
84,Robena Anglin,ranglin2b@fda.gov,2022,cse,8628229607
85,Zach Henden,zhenden2c@wired.com,2021,Computer science,1352179979
86,Kermie Bigland,kbigland2d@rediff.com,2024,Computer Science,8082748618
87,Clotilda Island,cisland2e@mtv.com,2023,Computer science,5207536924
88,Daune Foxall,dfoxall2f@canalblog.com,2024,cse,3678022068
89,Rudolph Gencke,rgencke2g@oracle.com,2023,cse,7603104786
90,Kerk Reaman,,2022,CSE,4292481228
91,Annora Campey,acampey2i@tamu.edu,2024,CS,9691976450
92,Petunia Hyndes,phyndes2j@indiegogo.com,2021,cse,3731007724
93,Kara-lynn Cosker,kcosker2k@vinaora.com,2024,cse,4356534846
94,Charlene Guilayn,cguilayn2l@va.gov,2022,CS,3986967914
95,Joey Barette,jbarette2m@dedecms.com,2022,cse,7554404941
96,Gregor Gosselin,ggosselin2n@nsw.gov.au,2024,CS,6214688974
97,Adolphus Shillaber,ashillaber2o@indiegogo.com,2024,Computer science,9182657038
98,Kacie Haspineall,khaspineall2p@google.com.au,2023,cse,7204154768
99,Hermon Sothern,hsothern2q@seesaa.net,2023,Computer science,2482936465
100,Clarice Olliar,colliar2r@europa.eu,2023,CSE,4125945629
